Physiographic Division,Physiographic Province,State,USGS Station No.,Site Name,Coordinates,,Drainage Area,, Bankfull Discharge,,Bankfull Width,,Bankfull Depth,,Bankfull Area,,Source
Interior Plains,Central Lowland,Iowa,05388250,Upper Iowa River near Dorchester,43.421084,-91.508752,770.00,1994.29,,,155.00,47.24,7.20,2.19,,,Eash 1993
Interior Plains,Central Lowland,Wisconsin,05403700,Dell Creek near Lake Delton,43.55220306,-89.867625,44.9,116.29,41.98,3.90,28.54,8.70,1.97,0.60,58.13,5.4,Haucke & Clancy 2011
Interior Plains,Central Lowland,Wisconsin,05404200,Narrows Creek at Loganville,43.4433333,-90.0358333,40.1,103.86,52.74,4.90,19.03,5.80,1.64,0.50,31.22,2.9,Haucke & Clancy 2011
Interior Plains,Central Lowland,Wisconsin,05406470,Brewery Creek at Cross Plains,43.11916068,-89.6403997,10.5,27.19,21.53,2.00,12.80,3.90,1.97,0.60,24.76,2.3,Haucke & Clancy 2011
Interior Plains,Central Lowland,Wisconsin,05406476,Black Earth Creek at Mills Street at Cross Plains,43.11332746,-89.650122,25.5,66.04,38.75,3.60,37.40,11.40,1.64,0.50,67.81,6.3,Haucke & Clancy 2011
Interior Plains,Central Lowland,Wisconsin,05406500,Black Earth Creek at Black Earth,43.1341598,-89.7323449,45.6,118.10,72.12,6.70,62.34,19.00,2.62,0.80,167.92,15.6,Haucke & Clancy 2011
Interior Plains,Central Lowland,Wisconsin,05408000,Kickapoo River at La Farge,43.57414037,-90.6431861,266,688.94,245.42,22.80,74.15,22.60,3.94,1.20,304.62,28.3,Haucke & Clancy 2011
Interior Plains,Central Lowland,Wisconsin,05409000,West Fork Kickapoo River near Readstown,43.47636435,-90.7417971,106,274.54,85.03,7.90,47.24,14.40,3.28,1.00,155.00,14.4,Haucke & Clancy 2011
Interior Plains,Central Lowland,Iowa,05411530,North Branch Turkey River near Cresco,43.370801,-92.213780,19.50,50.50,,,26.70,8.14,3.70,1.13,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05411600,Turkey River at Spillville,43.207278,-91.950333,177.00,458.43,,,82.70,25.21,5.10,1.55,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05411700,Crane Creek near Lourdes,43.249137,-92.309062,75.80,196.32,,,61.00,18.59,4.00,1.22,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05412500,Turkey River at Garber,42.739988,-91.261799,1545.00,4001.53,,,190.00,57.91,13.70,4.18,,,Eash 1993
Interior Plains,Central Lowland,Wisconsin,05414000,Platte River near Rockville,42.73110419,-90.6404053,142,367.78,168.99,15.70,73.82,22.50,3.61,1.10,271.25,25.2,Haucke & Clancy 2011
Interior Plains,Central Lowland,Iowa,05414450,North Fork Little Maquoketa River near Rickardsville,42.585831,-90.855684,21.60,55.94,,,37.20,11.34,3.40,1.04,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05414500,Little Maquoketa River near Durango,42.555000,-90.746238,130.00,336.70,,,109.00,33.22,9.40,2.87,,,Eash 1993
Interior Plains,Central Lowland,Wisconsin,05415000,Galena River at Buncombe,42.5136142,-90.3779052,125,323.75,212.05,19.70,63.65,19.40,3.94,1.20,243.26,22.6,Haucke & Clancy 2011
Interior Plains,Central Lowland,Iowa,05417000,Maquoketa River near Manchester,42.456100,-91.432370,305.00,789.95,,,166.00,50.60,6.40,1.95,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05417530,Plum Creek at Earlville,42.470271,-91.248196,41.10,106.45,,,40.90,12.47,3.90,1.19,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05417590,Kitty Creek near Langworthy,42.201114,-91.207652,14.40,37.30,,,48.60,14.81,4.10,1.25,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05418450,North Fork Maquoketa River at Fulton,42.146684,-90.675967,516.00,1336.43,,,155.00,47.24,10.20,3.11,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05418500,Maquoketa River near Maquoketa,42.083353,-90.632912,1553.00,4022.25,,,225.00,68.58,13.80,4.21,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05420560,Wapsipinicon River near Elma,43.241609,-92.533097,95.20,246.57,,,47.90,14.60,5.00,1.52,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05420620,Little Wapsipinicon River near Acme,43.326913,-92.485455,7.76,20.10,,,30.10,9.17,2.80,0.85,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05420640,Little Wapsipinicon River at Elma,43.241636,-92.451289,37.30,96.61,,,43.20,13.17,2.80,0.85,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05420650,Little Wapsipinicon River near New Hampton,43.066085,-92.394068,95.00,246.05,,,57.50,17.53,4.00,1.22,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05420690,East Fork Wapsipinicon River near New Hampton,43.086363,-92.306287,30.30,78.48,,,39.00,11.89,3.90,1.19,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05421000,Wapsipinicon River at Independence,42.463598,-91.895172,1048.00,2714.31,,,182.00,55.47,7.70,2.35,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05421100,Pine Creek tributary near Winthrop,42.488041,-91.786279,0.33,0.87,,,9.60,2.93,1.70,0.52,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05421200,Pine Creek near Winthrop,42.469708,-91.783780,28.30,73.30,,,50.60,15.42,4.10,1.25,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05421890,Silver Creek at Welton,41.915025,-90.600137,9.03,23.39,,,46.00,14.02,4.80,1.46,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05422000,Wapsipinicon River near De Witt,41.766974,-90.534859,2336.00,6050.21,,,279.00,85.04,7.20,2.19,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05422470,Crow Creek at Bettendorf,41.551144,-90.455132,17.80,46.10,,,40.90,12.47,4.40,1.34,,,Eash 1993
Interior Plains,Central Lowland,Wisconsin,05432695,Ridgeway Branch near Hollendale,42.94055428,-89.9212347,19,49.21,24.76,2.30,20.01,6.10,1.97,0.60,39.83,3.7,Haucke & Clancy 2011
Interior Plains,Central Lowland,Wisconsin,05433000,East Branch Pecatonica River near Blanchardville,42.78555775,-89.8612349,221,572.39,273.40,25.40,86.61,26.40,5.58,1.70,492.99,45.8,Haucke & Clancy 2011
Interior Plains,Central Lowland,Iowa,05449000,East Branch Iowa River near Klemme,43.009408,-93.627990,133.00,344.47,,,104.00,31.70,4.20,1.28,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05449500,Iowa River near Rowan,42.759944,-93.621849,429.00,1111.10,,,127.00,38.71,5.10,1.55,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05451500,Iowa River at Marshalltown,42.065821,-92.907700,1532.00,3967.86,,,165.00,50.29,9.30,2.83,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05451700,Timber Creek near Marshalltown,42.008878,-92.852421,118.00,305.62,,,71.00,21.64,8.40,2.56,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05451900,Richland Creek near Haven,41.899439,-92.474355,56.10,145.30,,,62.40,19.02,7.50,2.29,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05451955,Stein Creek near Clutier,42.079438,-92.300186,23.40,60.61,,,73.10,22.28,4.10,1.25,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05452000,Salt Creek near Elberon,41.964162,-92.313242,201.00,520.59,,,70.90,21.61,8.00,2.44,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05452200,Walnut Creek near Hartwick,41.834997,-92.386297,70.90,183.63,,,66.00,20.12,8.40,2.56,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05453100,Iowa River at Marengo,41.812726,-92.064792,2794.00,7236.43,,,188.00,57.30,11.80,3.60,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05453600,Rapid Creek below Morse,41.729184,-91.427390,8.12,21.03,,,31.20,9.51,3.80,1.16,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05453750,Rapid Creek southwest of Morse,41.723073,-91.437945,15.20,39.37,,,42.10,12.83,5.10,1.55,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05453950,Rapid Creek tributary near Iowa City,41.698906,-91.477668,3.43,8.88,,,26.00,7.92,4.50,1.37,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05454000,Rapid Creek near Iowa City,41.700017,-91.487668,25.30,65.53,,,50.00,15.24,6.80,2.07,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05454300,Clear Creek near Coralville,41.676682,-91.598781,98.10,254.08,,,70.00,21.34,7.60,2.32,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05455100,Old Mans Creek near Iowa City,41.606405,-91.615724,201.00,520.59,,,89.00,27.13,9.50,2.90,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05455300,South English River near Barnes City,41.523892,-92.465742,11.50,29.78,,,31.50,9.60,4.90,1.49,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05455500,English River at Kalona,41.469739,-91.714613,574.00,1486.65,,,122.00,37.19,11.20,3.41,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05457700,Cedar River at Charles City,43.062195,-92.673884,1054.00,2729.85,,,214.00,65.23,9.90,3.02,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05458000,Little Cedar River near Ionia,43.033280,-92.503544,306.00,792.54,,,100.00,30.48,5.40,1.65,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05458500,Cedar River at Janesville,42.648316,-92.465186,1661.00,4301.97,,,233.00,71.02,8.60,2.62,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05458900,West Fork Cedar River at Finchford,42.629426,-92.543522,846.00,2191.13,,,139.00,42.37,5.30,1.62,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05459000,Shell Rock River near Northwood,43.414125,-93.220759,300.00,777.00,,,148.00,45.11,4.00,1.22,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05459010,Elk Creek at Kensett,43.371625,-93.210481,58.10,150.48,,,41.50,12.65,2.70,0.82,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05459500,Winnebago River at Mason City,43.164962,-93.192703,526.00,1362.33,,,161.00,49.07,7.80,2.38,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05460100,Willow Creek near Mason City,43.148571,-93.268816,78.60,203.57,,,57.90,17.65,3.70,1.13,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05462000,Shell Rock River at Shell Rock,42.711925,-92.582966,1746.00,4522.12,,,216.00,65.84,6.50,1.98,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05463000,Beaver Creek at New Hartford,42.572759,-92.617970,347.00,898.73,,,80.00,24.38,5.60,1.71,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05463090,Black Hawk Creek at Grundy Center,42.369428,-92.768255,56.90,147.37,,,51.00,15.54,6.00,1.83,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05463500,Black Hawk Creek at Hudson,42.407764,-92.463245,303.00,784.77,,,91.00,27.74,5.70,1.74,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05464000,Cedar River at Waterloo,42.495542,-92.334352,5146.00,13328.08,,,403.00,122.83,8.60,2.62,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05464500,Cedar River at Cedar Rapids,41.971945,-91.667124,6510.00,16860.82,,,439.00,133.81,12.50,3.81,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05464640,Prairie Creek at Fairfax,41.922780,-91.784069,178.00,461.02,,,96.20,29.32,7.00,2.13,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05464880,Otter Creek at Wilton,41.604748,-91.035708,10.70,27.71,,,40.60,12.37,6.20,1.89,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05465000,Cedar River near Conesville,41.409192,-91.290434,7787.00,20168.24,,,523.00,159.41,10.60,3.23,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05469990,Keigley Branch near Story City,42.150262,-93.620495,31.00,80.29,,,37.70,11.49,4.40,1.34,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05470000,South Skunk River near Ames,42.066513,-93.620134,315.00,815.85,,,104.00,31.70,6.70,2.04,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05470500,Squaw Creek at Ames,42.023042,-93.630496,204.00,528.36,,,87.20,26.58,7.20,2.19,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05471000,South Skunk River below Squaw Creek near Ames,42.006653,-93.595495,556.00,1440.03,,,131.00,39.93,9.40,2.87,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05471200,Indian Creek near Mingo,41.805266,-93.309374,276.00,714.84,,,106.00,32.31,8.60,2.62,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05471500,South Skunk River near Oskaloosa,41.355699,-92.657359,1635.00,4234.63,,,162.00,49.38,10.90,3.32,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05472290,Sugar Creek near Searsboro,41.573886,-92.739081,52.70,136.49,,,57.00,17.37,7.70,2.35,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05473300,Cedar Creek near Batavia,41.009463,-92.118511,252.00,652.68,,,88.00,26.82,11.60,3.54,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05473400,Cedar Creek near Oakland Mills,40.925305,-91.674220,530.00,1372.69,,,122.00,37.19,12.70,3.87,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05473500,Big Creek near Mount Pleasant,41.015861,-91.580440,106.00,274.54,,,71.60,21.82,9.30,2.83,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05474000,Skunk River at Augusta,40.753650,-91.277094,4312.00,11168.03,,,322.00,98.15,17.10,5.21,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05476500,Des Moines River at Estherville,43.397459,-94.844153,1372.00,3553.46,,,106.00,32.31,6.70,2.04,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05476750,Des Moines River at Humboldt,42.719416,-94.220518,2256.00,5843.01,,,172.00,52.43,6.80,2.07,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05479000,East Fork Des Moines River at Dakota City,42.723582,-94.193489,1308.00,3387.70,,,187.00,57.00,6.40,1.95,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05480000,Lizard Creek near Clare,42.545250,-94.346635,257.00,665.63,,,101.00,30.78,6.30,1.92,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05480500,Des Moines River at Fort Dodge,42.508303,-94.203573,4190.00,10852.05,,,239.00,72.85,9.40,2.87,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05481000,Boone River near Webster City,42.432475,-93.805776,844.00,2185.95,,,166.00,50.60,8.30,2.53,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05481300,Des Moines River near Stratford,42.251920,-93.996898,5452.00,14120.62,,,361.00,110.03,12.50,3.81,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05481680,Beaver Creek at Beaver,42.034426,-94.146349,38.50,99.71,,,49.40,15.06,4.40,1.34,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05481950,Beaver Creek near Grimes,41.688322,-93.735500,358.00,927.22,,,95.50,29.11,6.60,2.01,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05482300,North Raccoon River near Sac City,42.354427,-94.990822,700.00,1812.99,,,150.00,45.72,8.10,2.47,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05482500,North Raccoon River near Jefferson,41.988039,-94.376913,1619.00,4193.19,,,178.00,54.25,10.10,3.08,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05482600,Hardin Creek at Farnhamville,42.266923,-94.419693,43.70,113.18,,,32.90,10.03,4.20,1.28,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05482900,Hardin Creek near Farlin,42.092482,-94.427748,101.00,261.59,,,71.00,21.64,6.20,1.89,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05483000,East Fork Hardin Creek near Churdan,42.107481,-94.370246,24.00,62.16,,,36.60,11.16,3.20,0.98,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05483349,Middle Raccoon River tributary at Carroll,42.041652,-94.878875,6.58,17.04,,,21.40,6.52,3.20,0.98,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05483450,Middle Raccoon River near Bayard,41.778597,-94.492749,375.00,971.25,,,102.00,31.09,7.40,2.26,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05484000,South Racoon River at Redfield,41.589432,-94.151346,994.00,2574.45,,,180.00,54.86,10.70,3.26,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05484500,Raccoon River at Van Meter,41.533878,-93.949950,3441.00,8912.15,,,250.00,76.20,11.30,3.44,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05484800,Walnut Creek at Des Moines,41.587211,-93.703276,78.40,203.06,,,66.00,20.12,7.50,2.29,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05487600,South White Breast Creek near Osceola,40.959999,-93.691329,28.00,72.52,,,59.50,18.14,7.90,2.41,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05487800,White Breast Creek at Lucas,41.023332,-93.465768,128.00,331.52,,,69.60,21.21,8.40,2.56,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05488620,Coal Creek near Albia,41.017230,-92.846308,13.50,34.96,,,38.70,11.80,5.00,1.52,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05489000,Cedar Creek near Bussey,41.219002,-92.908533,374.00,968.66,,,96.00,29.26,10.90,3.32,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05489150,Little Muchakinock Creek at Oskaloosa,41.266118,-92.642693,9.12,23.62,,,26.80,8.17,3.70,1.13,,,Eash 1993
Interior Plains,Central Lowland,Iowa,05489490,Bear Creek at Ottumwa,41.014458,-92.462409,22.90,59.31,,,56.20,17.13,6.30,1.92,,,Eash 1993
Rocky Mountain System,Northern Rocky Mountains,Montana,06011000,Red Rock River near Lakeview,44.64793056,-112.0564056,323.00,836.57,,,87.00,26.52,2.00,0.61,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,06013200,Traux Creek near Lima,44.6165779,-112.5675049,4.06,10.52,,,6.00,1.83,1.40,0.43,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,06013400,Muddy Creek near Dell,44.63963709,-112.8094575,63.40,164.21,,,10.00,3.05,2.80,0.85,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,06013500,Big  Sheep Creek below Muddy Creek near Dell,44.6551111,-112.778475,278.00,720.02,,,33.00,10.06,4.00,1.22,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,06015500,Grasshopper Creek near Dillon,45.11103255,-112.800859,348.00,901.32,,,40.00,12.19,2.80,0.85,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,06017500,Blacktail Deer Creek near Dillon,45.04575167,-112.549456,312.00,808.08,,,37.00,11.28,3.40,1.04,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,06019800,Idaho Creek near Alder,45.1971446,-112.1402642,11.00,28.49,,,9.00,2.74,2.70,0.82,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,06023000,Ruby River near Twin Bridges,45.50770355,-112.3308336,965.00,2499.34,,,59.00,17.98,5.50,1.68,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,06025300,Moose Creek near Divide,45.71353725,-112.7053039,42.30,109.56,,,19.00,5.79,2.90,0.88,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,06025500,Big Hole River near Melrose,45.52659327,-112.7016902,2476.00,6412.81,,,260.00,79.25,7.50,2.29,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,06026000,Birch Creek near Glen,45.3793693,-112.7975285,36.00,93.24,,,28.00,8.53,2.60,0.79,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,06027700,Fish Creek near Silverstar,45.7707597,-112.2499992,38.90,100.75,,,23.00,7.01,3.60,1.10,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,06030300,Jefferson River Tributary No. 2 near Whitehall,45.88020448,-111.9741552,4.50,11.65,,,11.00,3.35,1.50,0.46,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,06033000,Boulder River near Boulder,46.2110389,-112.0916649,381.00,986.79,,,60.00,18.29,3.50,1.07,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,06034700,Sand Creek at Sappington,45.7913171,-111.7555349,9.41,24.37,,,8.00,2.44,0.80,0.24,,,Parrett et al. 1983
Rocky Mountain System,Middle Rocky Mountains,Montana,06037500,Madison River near West Yellowstone,44.6568723,-111.0682742,420.00,1087.80,,,94.00,28.65,4.10,1.25,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,06038500,Madison River below Hebgen Lake near  Grayling ,44.86659267,-111.338288,905.00,2343.94,,,120.00,36.58,4.50,1.37,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,06043000,Taylor Creek near Grayling,45.07076195,-111.2049509,98.00,253.82,,,44.00,13.41,3.00,0.91,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,06043500,Gallatin River near Gallatin Gateway,45.4974286,-111.2705107,825.00,2136.74,,,120.00,36.58,5.50,1.68,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,06046500,Rocky Creek near Bozeman,45.6429871,-110.9271653,50.50,130.79,,,37.00,11.28,2.70,0.82,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,06046700,Pitcher Creek near Bozeman,45.65493136,-110.9427215,2.33,6.03,,,10.00,3.05,1.30,0.40,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,06047000,Bear Canyon near Bozeman,45.62632047,-110.929943,17.00,44.03,,,18.00,5.49,2.00,0.61,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,06048000,East Gallatin River at Bozeman,45.6999305,-111.0299469,148.00,383.32,,,46.00,14.02,3.40,1.04,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,06050000,Hyalite Creek at Hyalite Ranger Station near Bozeman,45.56159687,-111.070781,48.20,124.84,,,42.00,12.80,4.10,1.25,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,06052500,Gallatin River at Logan,45.885206,-111.4382983,1795.00,4649.03,,,170.00,51.82,6.00,1.83,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,06055500,Crow Creek near  Radersburg,46.26228889,-111.6871194,76.60,198.39,,,38.00,11.58,3.20,0.98,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,06056200,Castle Creek Tributary near Ringling,46.35854537,-111.0968904,2.51,6.50,,,8.00,2.44,1.60,0.49,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,06056300,Cabin Creek near Townsend,46.33493296,-111.2199539,11.80,30.56,,,12.00,3.66,2.60,0.79,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,06056600,Deep Creek below North Fork Deep Creek near Townsend,46.3246545,-111.293569,87.70,227.14,,,29.00,8.84,2.00,0.61,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,06061500,Prickly Pear Creek near Clancy,46.51909958,-111.9466584,192.00,497.28,,,31.00,9.45,3.20,0.98,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,06061800,Crystal Creek near East Helena,46.48298785,-111.8610977,3.77,9.76,,,10.00,3.05,1.60,0.49,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,06061900,McClellan Creek at City Diversion Dam near East Helena,46.53326666,-111.878599,33.20,85.99,,,28.00,8.53,2.60,0.79,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,06062500,Tenmile Creek near Rimini,46.52409916,-112.2569557,30.90,80.03,,,25.00,7.62,2.50,0.76,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,06063000,Tenmile Creek near Helena,46.6054901,-112.0897236,96.50,249.93,,,33.00,10.06,2.20,0.67,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,06068500,Little Prickly Pear Creek near Marysville,46.7877111,-112.4067222,44.40,115.00,,,24.00,7.32,2.80,0.85,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,06071000,Little Prickly Pear Creek near Canyon Creek,46.8189083,-112.2505056,183.00,473.97,,,37.00,11.28,2.50,0.76,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,06071200,Lyons Creek near Wolf Creek,46.9393859,-112.126395,29.90,77.44,,,16.00,4.88,1.70,0.52,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,06071400,Dog Creek near Craig,47.08661108,-111.9936099,15.70,40.66,,,15.00,4.57,1.30,0.40,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,06071600,Wegner Creek at Craig,47.07633336,-111.9555521,35.70,92.46,,,18.00,5.49,1.50,0.46,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,06073000,Dearborn River near Demons,47.2916116,-112.4508589,123.00,318.57,,,83.00,25.30,3.00,0.91,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,06073500,Dearborn River near Craig,47.19911229,-112.0963938,325.00,841.75,,,85.00,25.91,4.00,1.22,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,06075600,Fivemile Creek near White Sulphur Springs,46.61272958,-110.7565957,6.42,16.63,,,8.50,2.59,2.50,0.76,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,06076000,Newland Creek near White Sulphur Springs,46.73159167,-110.8387472,7.27,18.83,,,12.00,3.66,  ,,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,06076700,Sheep Creek near Neihart,46.7996835,-110.7035446,5.22,13.52,,,25.00,7.62,2.40,0.73,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,06076800,Nuggett Creek near Neihart,46.77496105,-110.7013216,1.50,3.88,,,9.00,2.74,1.90,0.58,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,06077000,Sheep Creek near White Sulphur Springs ,46.7680153,-110.8099362,42.80,110.85,,,33.00,10.06,3.00,0.91,,,Parrett et al. 1983
Interior Plains,Great Plains,Montana,06077500,Smith River near Eden,47.18911897,-111.3863518,1594.00,4128.44,,,98.00,29.87,5.00,1.52,,,Parrett et al. 1983
Interior Plains,Great Plains,Montana,06077700,Smith River Tributary near Eden,47.3063429,-111.4244114,1.44,3.73,,,2.50,0.76,0.40,0.12,,,Parrett et al. 1983
Interior Plains,Great Plains,Montana,06077800,Goodman Coulee near Eden,47.3238432,-111.4271898,22.10,57.24,,,11.00,3.35,2.40,0.73,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,06079600,Beaver Creek at Gibson Dam near Augusta,47.6024447,-112.7575418,20.80,53.87,,,24.00,7.32,2.50,0.76,,,Parrett et al. 1983
Rocky Mountain System,Northern Rocky Mountains,Montana,06080000,Sun River near Augusta,47.62077875,-112.706984,609.00,1577.30,,,193.00,58.83,7.30,2.23,,,Parrett et al. 1983
Interior Plains,Great Plains,Montana,06081500,Willow Creek near Augusta,47.54550556,-112.4736833,96.10,248.90,,,35.00,10.67,3.50,1.07,,,Parrett et al. 1983
